GHCND:US10boon002,"SAINT EDWARD 7.3 WSW, NE US",2018-09-05,2004-08-01
GHCND:US10boon003,"ALBION 12.9 WNW, NE US",2005-02-01,2004-08-01
GHCND:US10boon004,"ALBION 1.0 ESE, NE US",2006-06-24,2004-09-01
GHCND:US10boon005,"ALBION 3.5 S, NE US",2018-09-18,2004-10-01
GHCND:US10boon006,"CEDAR RAPIDS 4.1 SSW, NE US",2008-10-29,2004-10-01
GHCND:US10boon007,"PETERSBURG 7.9 W, NE US",2007-11-15,2004-11-01
GHCND:US10boon008,"PRIMROSE 0.3 N, NE US",2012-10-18,2005-03-01
GHCND:US10boon009,"ALBION 5.9 ESE, NE US",2017-08-22,2006-01-01
GHCND:US10boon010,"ALBION 6.1 W, NE US",2018-09-18,2006-04-01
GHCND:US10boon011,"PETERSBURG 1.8 E, NE US",2012-08-02,2008-05-01
GHCND:US10box_001,"ALLIANCE 7.4 NW, NE US",2018-09-18,2006-07-01
GHCND:US10box_003,"ALLIANCE 8.6 SW, NE US",2012-12-22,2006-10-01
GHCND:US10box_004,"ALLIANCE 7.2 ENE, NE US",2018-09-16,2007-01-01
GHCND:US10box_005,"HEMINGFORD 0.2 ESE, NE US",2011-05-27,2006-09-01
GHCND:US10box_006,"HEMINGFORD 5.1 ENE, NE US",2010-07-09,2007-02-01
GHCND:US10box_007,"ALLIANCE 5.9 NE, NE US",2018-08-20,2007-03-01
GHCND:US10box_008,"HEMINGFORD 4.9 SW, NE US",2018-09-09,2007-04-01
GHCND:US10box_009,"ALLIANCE 20.3 ENE, NE US",2018-06-18,2007-09-01
GHCND:US10box_010,"ALLIANCE 29.1 W, NE US",2009-09-30,2008-06-01
GHCND:US10box_013,"ALLIANCE 1.2 NW, NE US",2018-09-18,2011-07-01
GHCND:US10box_014,"ALLIANCE 13.6 N, NE US",2017-05-15,2011-08-01
GHCND:US10box_020,"HEMINGFORD 0.4 SW, NE US",2018-07-27,2013-05-01
GHCND:US10box_023,"ALLIANCE 21.7 NNE, NE US",2015-05-07,2013-09-01
GHCND:US10box_024,"HEMINGFORD 4.2 E, NE US",2018-09-17,2014-03-01
